region_tags,evaluation_date,github_link,last_updated,github_repo,runnability_score,api_effectiveness_score,comments_code_clarity_score,formatting_score,language_score,overall_compliance_score,identified_generic_problem_categories
antimoneylaunderingai_list_locations,2025-06-06 10:42,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/aml-ai/list_locations.py,2024-09-11,python-docs-samples,85,90,95,100,90,91,"Configuration Error, Clarity, API Misuse, Type Hinting Error, Non-Idiomatic Code"
secretmanager_access_secret_version,2025-06-05 17:00,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/access_secret_version.py,2024-01-12,python-docs-samples,90,95,85,80,85,90,"Missing Documentation Detail, Missing Error Handling, Redundant Comments, Code Clarity, Style Inconsistency, PEP 8 Violation, Error Handling, Non-Idiomatic Code"
secretmanager_add_secret_version,2025-06-05 17:25,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/add_secret_version.py,2024-01-12,python-docs-samples,100,95,100,95,90,96,"Missing Error Handling, Style Inconsistency"
secretmanager_consume_event_notification,2025-06-05 17:38,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/consume_event_notification.py,2023-08-02,python-docs-samples,90,30,95,70,75,62,"Cloud Function Specifics, API Misuse (of criterion), Missing API Call Example, Style Inconsistency, PEP 8 Violation, Type Hinting, Error Handling, Robustness"
secretmanager_create_secret,2025-06-05 17:30,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/create_secret.py,2024-04-23,python-docs-samples,80,75,95,85,70,78,"Configuration Error, Parameter Mismatch, Redundant Code, Missing Error Handling, API Misuse, Redundant Comment, Style Inconsistency, PEP 8 Violation, Anti-pattern"
secretmanager_create_secret_with_annotations,2025-06-05 17:24,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/create_secret_with_annotations.py,2024-10-23,python-docs-samples,20,80,95,95,20,59,"Configuration Error, Type Mismatch, Runtime Error, API Usage, Input Validation, Readability, Style Consistency, Language Misuse, Non-Idiomatic Code"
secretmanager_create_secret_with_delayed_destroy,2025-06-05 17:28,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/create_secret_with_delayed_destroy.py,2025-04-24,python-docs-samples,60,98,95,98,70,85,"Configuration Error, Type Mismatch, Runtime Error, Non-Idiomatic Code"
secretmanager_create_secret_with_labels,2025-06-06 10:01,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/create_secret_with_labels.py,2025-05-15,python-docs-samples,20,60,95,95,30,53,"Runtime Error, Configuration Error, Incomplete Example, API Misuse, Type Mismatch, Non-Idiomatic Code"
secretmanager_create_update_secret_label,2025-06-05 17:49,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/create_update_secret_label.py,2024-08-02,python-docs-samples,20,60,80,70,40,51,"Runtime Error, Configuration Error, Type Mismatch, API Misuse, Type Hinting Error, Non-Idiomatic Code, Naming Convention, Redundant Comment, Missing Comment, Style Inconsistency"
secretmanager_delete_secret_label,2025-06-05 17:07,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/delete_secret_label.py,2024-08-02,python-docs-samples,95,60,70,85,70,73,"API Misuse, Type Hinting Error, Missing Error Handling, Redundant Comments, Readability, Style Inconsistency, PEP 8 Violation, Non-Idiomatic Code, Resource Management, Unused Return Value"
secretmanager_delete_secret,2025-06-05 17:54,https://github.com/GoogleCloudPlatform/python-docs-samples/blob/main/secretmanager/snippets/delete_secret.py,2023-05-17,python-docs-samples,95,70,98,85,70,79,"Missing Error Handling, API Usage, Style Inconsistency"
